;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
384;20241106.029;3;15;EHM001+2520;OP22
212;20241023.060;3;11;EIM000+2520;OP22
100;20241010.022;3;11;EJM013+2620;OP22
1808;20250408.053;1;11;EIM000+2520;OP23
776;20241128.068;3;10;EIM000+2520;OP22
216;20241023.064;3;10;EIM000+2520;OP22
1824;20250408.081;1;10;EIM000+2520;OP23
1823;20250408.080;1;10;EIM000+2520;OP23
1822;20250408.079;1;10;EIM000+2520;OP23
1810;20250408.057;1;10;EIM000+2520;OP23
1790;20250403.073;1;10;EIM000+2520;OP23
1786;20250403.069;1;10;EIM000+2520;OP23
1780;20250403.063;1;10;EIM000+2520;OP23
1803;20250408.043;3;8;EIM000+2520;OP23
1062;20241212.021;3;8;EIM000+2520;OP22
1061;20241212.020;3;8;EIM000+2520;OP22
1048;20241211.079;3;8;DIR001+2520;OP22
1017;20241211.023;3;8;AIM000+2520;OP22
1015;20241211.021;3;8;AIM000+2520;OP22
458;20241112.081;3;8;EIM000+2614;OP22
455;20241112.077;3;8;EIM000+2614;OP22
454;20241112.076;3;8;EIM000+2614;OP22
416;20241107.042;3;8;EHM004+2544;OP22
214;20241023.062;3;8;EIM000+2520;OP22
99;20241010.020;3;8;EJM013+2620;OP22
1806;20250408.046;1;8;EIM000+2520;OP23
1767;20250403.046;1;8;EIM000+2520;OP23
1766;20250403.045;1;8;EIM000+2520;OP23
1764;20250403.043;1;8;EIM000+2520;OP23
1762;20250403.041;1;8;EIM000+2520;OP23
1755;20250403.034;1;8;EIM000+2520;OP23
1753;20250403.032;1;8;EIM000+2520;OP23
1752;20250403.031;1;8;EIM000+2520;OP23
1751;20250403.030;1;8;EIM000+2520;OP23
1193;20250226.064;3;7;DBM000-2520;OP23
1075;20241212.039;3;7;EIM000+2520;OP22
1069;20241212.033;3;7;EIM000+2520;OP22
1053;20241212.010;3;7;EIM000+2520;OP22
1049;20241211.080;3;7;DIR001+2520;OP22
213;20241023.061;3;7;EIM000+2520;OP22
1797;20250403.080;1;7;EIM000+2520;OP23
1796;20250403.079;1;7;EIM000+2520;OP23
