;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
1795;20250403.078;1;7;EIM000+2520;OP23
1784;20250403.067;1;7;EIM000+2520;OP23
1759;20250403.038;1;7;EIM000+2520;OP23
1804;20250408.044;3;6;EIM000+2520;OP23
1197;20250226.072;3;6;DBM000-2520;OP23
1047;20241211.077;3;6;DIR001+2520;OP22
703;20241127.040;3;6;EIM000+2520;OP22
700;20241127.036;3;6;EIM000+2520;OP22
440;20241112.062;3;6;EJM013+2620;OP22
439;20241112.061;3;6;EJM013+2620;OP22
438;20241112.060;3;6;EKM004+2620;OP22
434;20241112.056;3;6;EKM006+2620;OP22
433;20241112.055;3;6;EKM006+2620;OP22
200;20241023.040;3;6;EIM000+2520;OP22
1883;20250409.083;1;6;EIM000+2520;OP23
1881;20250409.081;1;6;EIM000+2520;OP23
1880;20250409.080;1;6;EIM000+2520;OP23
1820;20250408.076;1;6;EIM000+2520;OP23
1819;20250408.075;1;6;EIM000+2520;OP23
1779;20250403.062;1;6;EIM000+2520;OP23
1661;20250401.076;3;5;DBM000+2520;OP23
1657;20250401.070;3;5;DBM000+2520;OP23
1544;20250325.090;3;5;EIM000-2620;OP23
1238;20250304.086;3;5;EIM000-2520;OP23
1194;20250226.066;3;5;DBM000-2520;OP23
1192;20250226.062;3;5;DBM000-2520;OP23
1190;20250226.058;3;5;DBM000-2520;OP23
1016;20241211.022;3;5;AIM000+2520;OP22
1011;20241211.017;3;5;AIM000+2520;OP22
711;20241127.048;3;5;EIM000+2520;OP22
709;20241127.046;3;5;EIM000+2520;OP22
691;20241127.027;3;5;EIM000+2520;OP22
690;20241127.026;3;5;EIM000+2520;OP22
457;20241112.080;3;5;EIM000+2614;OP22
447;20241112.069;3;5;EIM000+2614;OP22
443;20241112.065;3;5;EJM013+2620;OP22
442;20241112.064;3;5;EJM013+2620;OP22
441;20241112.063;3;5;EJM013+2620;OP22
437;20241112.059;3;5;EKM004+2620;OP22
383;20241106.028;3;5;EIM000+2520;OP22
350;20241105.054;3;5;EHM001+2520;OP22
345;20241105.049;3;5;EHM001+2520;OP22
340;20241105.043;3;5;EIM000+2520;OP22
338;20241105.040;3;5;EIM000+2520;OP22
336;20241105.038;3;5;EIM000+2520;OP22
334;20241105.036;3;5;EIM000+2520;OP22
328;20241105.030;3;5;EIM000+2520;OP22
327;20241105.029;3;5;EIM000+2520;OP22
326;20241105.028;3;5;EIM000+2520;OP22
189;20241023.024;3;5;EIM000+2520;OP22
1882;20250409.082;1;5;EIM000+2520;OP23
1818;20250408.073;1;5;EIM000+2520;OP23
1794;20250403.077;1;5;EIM000+2520;OP23
1792;20250403.075;1;5;EIM000+2520;OP23
1788;20250403.071;1;5;EIM000+2520;OP23
1785;20250403.068;1;5;EIM000+2520;OP23
1771;20250403.054;1;5;EIM000+2520;OP23
1770;20250403.053;1;5;EIM000+2520;OP23
1750;20250403.029;1;5;EIM000+2520;OP23
1749;20250403.028;1;5;EIM000+2520;OP23
1805;20250408.045;3;4;EIM000+2520;OP23
1668;20250401.086;3;4;DBM000+2520;OP23
1664;20250401.080;3;4;DBM000+2520;OP23
1662;20250401.077;3;4;DBM000+2520;OP23
1656;20250401.069;3;4;DBM000+2520;OP23
1653;20250401.061;3;4;DBM000+2520;OP23
1413;20250313.019;3;4;EIM000-2520;OP23
1411;20250313.017;3;4;EIM000-2520;OP23
1026;20241211.033;3;4;AIM000+2520;OP22
845;20241203.080;3;4;EIM000+2614;OP22
838;20241203.069;3;4;EIM000+2614;OP22
831;20241203.058;3;4;EIM000+2520;OP22
829;20241203.055;3;4;EIM000+2520;OP22
827;20241203.053;3;4;EIM000+2520;OP22
743;20241128.028;3;4;EIM000+2420;OP22
698;20241127.034;3;4;EIM000+2520;OP22
697;20241127.033;3;4;EIM000+2520;OP22
692;20241127.028;3;4;EIM000+2520;OP22
643;20241126.012;3;4;EIM000+2520;OP22
633;20241121.080;3;4;EIM000+2520;OP22
631;20241121.078;3;4;EIM000+2520;OP22
629;20241121.076;3;4;EIM000+2520;OP22
621;20241121.049;3;4;EIM000+2520;OP22
618;20241121.046;3;4;EIM000+2520;OP22
588;20241121.014;3;4;EIM000+2520;OP22
450;20241112.072;3;4;EIM000+2614;OP22
446;20241112.068;3;4;EIM000+2614;OP22
445;20241112.067;3;4;EIM000+2614;OP22
378;20241106.023;3;4;EIM000+2520;OP22
362;20241105.068;3;4;EIM000+2520;OP22
361;20241105.067;3;4;EIM000+2520;OP22
360;20241105.066;3;4;EIM000+2520;OP22
359;20241105.065;3;4;EIM000+2520;OP22
355;20241105.061;3;4;EIM000+2520;OP22
349;20241105.053;3;4;EHM001+2520;OP22
339;20241105.041;3;4;EIM000+2520;OP22
337;20241105.039;3;4;EIM000+2520;OP22
335;20241105.037;3;4;EIM000+2520;OP22
331;20241105.033;3;4;EIM000+2520;OP22
329;20241105.031;3;4;EIM000+2520;OP22
325;20241105.027;3;4;EIM000+2520;OP22
323;20241105.024;3;4;EIM000+2520;OP22
305;20241029.035;3;4;DIR001+2520;OP22
304;20241029.031;3;4;DIR001+2520;OP22
295;20241029.019;3;4;XIM001+2485;OP22
242;20241024.024;3;4;EIM000+2520;OP22
241;20241024.023;3;4;EIM000+2520;OP22
196;20241023.034;3;4;EIM000+2520;OP22
98;20241010.019;3;4;EJM013+2620;OP22
96;20241010.015;3;4;EJM013+2620;OP22
1817;20250408.071;2;4;EIM000+2520;OP23
1816;20250408.069;2;4;EIM000+2520;OP23
1821;20250408.078;1;4;EIM000+2520;OP23
1814;20250408.065;1;4;EIM000+2520;OP23
1811;20250408.059;1;4;EIM000+2520;OP23
1793;20250403.076;1;4;EIM000+2520;OP23
1692;20250402.042;1;4;KJM008+2520;OP23
1667;20250401.084;3;3;DBM000+2520;OP23
1665;20250401.081;3;3;DBM000+2520;OP23
1658;20250401.072;3;3;DBM000+2520;OP23
1655;20250401.065;3;3;DBM000+2520;OP23
1646;20250401.053;3;3;DBM000+2520;OP23
1627;20250401.014;3;3;EIM000+2520;OP23
1412;20250313.018;3;3;EIM000-2520;OP23
1410;20250313.016;3;3;EIM000-2520;OP23
1409;20250313.015;3;3;EIM000-2520;OP23
1284;20250306.023;3;3;EIM000-2520;OP23
1235;20250304.083;3;3;EIM000-2520;OP23
1198;20250226.074;3;3;DBM000-2520;OP23
1195;20250226.068;3;3;DBM000-2520;OP23
1091;20241212.061;3;3;EIM000+2520;OP22
1089;20241212.059;3;3;EIM000+2520;OP22
1050;20241211.082;3;3;DIR001+2520;OP22
1046;20241211.076;3;3;DIR001+2520;OP22
1045;20241211.075;3;3;DIR001+2520;OP22
1032;20241211.041;3;3;AIM000+2520;OP22
1031;20241211.039;3;3;AIM000+2520;OP22
1030;20241211.038;3;3;AIM000+2520;OP22
1029;20241211.037;3;3;AIM000+2520;OP22
1024;20241211.031;3;3;AIM000+2520;OP22
1023;20241211.030;3;3;AIM000+2520;OP22
1022;20241211.029;3;3;AIM000+2520;OP22
1020;20241211.026;3;3;AIM000+2520;OP22
1013;20241211.019;3;3;AIM000+2520;OP22
1012;20241211.018;3;3;AIM000+2520;OP22
841;20241203.072;3;3;EIM000+2614;OP22
840;20241203.071;3;3;EIM000+2614;OP22
837;20241203.068;3;3;EIM000+2614;OP22
836;20241203.067;3;3;EIM000+2614;OP22
834;20241203.064;3;3;EIM000+2614;OP22
832;20241203.060;3;3;EIM000+2614;OP22
828;20241203.054;3;3;EIM000+2520;OP22
821;20241203.038;3;3;EIM000+2520;OP22
710;20241127.047;3;3;EIM000+2520;OP22
693;20241127.029;3;3;EIM000+2520;OP22
649;20241126.020;3;3;EIM000+2520;OP22
640;20241126.009;3;3;EIM000+2520;OP22
639;20241126.008;3;3;EIM000+2520;OP22
638;20241126.007;3;3;EIM000+2520;OP22
634;20241121.081;3;3;EIM000+2520;OP22
620;20241121.048;3;3;EIM000+2520;OP22
619;20241121.047;3;3;EIM000+2520;OP22
536;20241119.020;3;3;EIM000+2520;OP22
451;20241112.073;3;3;EIM000+2614;OP22
436;20241112.058;3;3;EKM004+2620;OP22
344;20241105.048;3;3;EHM001+2520;OP22
343;20241105.047;3;3;EHM001+2520;OP22
332;20241105.034;3;3;EIM000+2520;OP22
330;20241105.032;3;3;EIM000+2520;OP22
306;20241029.037;3;3;DIR001+2520;OP22
303;20241029.028;3;3;DIR001+2520;OP22
300;20241029.025;3;3;XIM001+2485;OP22
299;20241029.024;3;3;XIM001+2485;OP22
294;20241029.018;3;3;XIM001+2485;OP22
293;20241029.017;3;3;XIM001+2485;OP22
292;20241029.016;3;3;XIM001+2485;OP22
246;20241024.033;3;3;EIM000+2520;OP22
244;20241024.029;3;3;EIM000+2520;OP22
201;20241023.042;3;3;EIM000+2520;OP22
199;20241023.038;3;3;EIM000+2520;OP22
193;20241023.030;3;3;EIM000+2520;OP22
110;20241010.042;3;3;EIM000+2520;OP22
109;20241010.041;3;3;EIM000+2520;OP22
104;20241010.036;3;3;EIM000+2520;OP22
41;20241001.009;3;3;KJM001+2650;OP22
186;20241023.020;2;3;EIM000+2520;OP22
1895;20250410.006;1;3;EIM000+2520;OP23
1815;20250408.067;1;3;EIM000+2520;OP23
1809;20250408.055;1;3;EIM000+2520;OP23
1807;20250408.051;1;3;EIM000+2520;OP23
1789;20250403.072;1;3;EIM000+2520;OP23
1777;20250403.060;1;3;EIM000+2520;OP23
1776;20250403.059;1;3;EIM000+2520;OP23
1775;20250403.058;1;3;EIM000+2520;OP23
1774;20250403.057;1;3;EIM000+2520;OP23
1773;20250403.056;1;3;EIM000+2520;OP23
1772;20250403.055;1;3;EIM000+2520;OP23
1769;20250403.052;1;3;EIM000+2520;OP23
1768;20250403.051;1;3;EIM000+2520;OP23
1765;20250403.044;1;3;EIM000+2520;OP23
1763;20250403.042;1;3;EIM000+2520;OP23
1761;20250403.040;1;3;EIM000+2520;OP23
1760;20250403.039;1;3;EIM000+2520;OP23
1757;20250403.036;1;3;EIM000+2520;OP23
1694;20250402.044;1;3;KJM008+2520;OP23
1654;20250401.063;3;2;DBM000+2520;OP23
1652;20250401.060;3;2;DBM000+2520;OP23
1644;20250401.050;3;2;DBM000+2520;OP23
1640;20250401.039;3;2;EIM000+2614;OP23
1639;20250401.038;3;2;EIM000+2614;OP23
1632;20250401.027;3;2;EIM000+2614;OP23
1629;20250401.016;3;2;EIM000+2520;OP23
1621;20250327.068;3;2;EIM000-1800;OP23
1450;20250318.065;3;2;EIM000-1800;OP23
1408;20250313.014;3;2;EIM000-2520;OP23
1404;20250313.009;3;2;EIM000-2520;OP23
1280;20250306.013;3;2;EIM000-2520;OP23
1279;20250306.012;3;2;EIM000-2520;OP23
1278;20250306.011;3;2;EIM000-2520;OP23
1277;20250306.009;3;2;EIM000-2520;OP23
1240;20250304.090;3;2;EIM000-2520;OP23
1239;20250304.089;3;2;EIM000-2520;OP23
1233;20250304.081;3;2;EIM000-2520;OP23
1136;20250220.026;3;2;EIM000-2520;OP23
1129;20250220.013;3;2;EIM000-2520;OP23
1094;20241212.064;3;2;EIM000+2520;OP22
1085;20241212.053;3;2;EIM000+2520;OP22
1080;20241212.046;3;2;EIM000+2520;OP22
1057;20241212.016;3;2;EIM000+2520;OP22
1043;20241211.072;3;2;DIR001+2520;OP22
1042;20241211.071;3;2;DIR001+2520;OP22
1041;20241211.063;3;2;DIR001+2520;OP22
1040;20241211.062;3;2;DIR001+2520;OP22
1033;20241211.042;3;2;AIM000+2520;OP22
1028;20241211.036;3;2;AIM000+2520;OP22
1027;20241211.035;3;2;AIM000+2520;OP22
1019;20241211.025;3;2;AIM000+2520;OP22
1010;20241211.016;3;2;AIM000+2520;OP22
1009;20241211.015;3;2;AIM000+2520;OP22
1001;20241211.006;3;2;AIM000+2520;OP22
989;20241210.091;3;2;EIM000+2520;OP22
846;20241203.081;3;2;EIM000+2614;OP22
844;20241203.076;3;2;EIM000+2614;OP22
830;20241203.057;3;2;EIM000+2520;OP22
816;20241203.032;3;2;EIM000+2520;OP22
812;20241203.028;3;2;EIM000+2520;OP22
696;20241127.032;3;2;EIM000+2520;OP22
684;20241127.018;3;2;EIM000+2520;OP22
680;20241127.008;3;2;EIM000+2520;OP22
537;20241119.021;3;2;EIM000+2520;OP22
453;20241112.075;3;2;EIM000+2614;OP22
452;20241112.074;3;2;EIM000+2614;OP22
404;20241106.052;3;2;DBM000+2520;OP22
367;20241106.011;3;2;EIM004+2520;OP22
351;20241105.055;3;2;EIM000+2520;OP22
347;20241105.051;3;2;EHM001+2520;OP22
333;20241105.035;3;2;EIM000+2520;OP22
324;20241105.026;3;2;EIM000+2520;OP22
321;20241105.022;3;2;EIM000+2520;OP22
320;20241105.021;3;2;EIM000+2520;OP22
319;20241105.020;3;2;EIM000+2520;OP22
317;20241105.018;3;2;EIM000+2520;OP22
316;20241105.017;3;2;EIM000+2520;OP22
312;20241105.012;3;2;EIM000+2520;OP22
311;20241105.011;3;2;EIM000+2520;OP22
307;20241029.039;3;2;DIR001+2520;OP22
298;20241029.023;3;2;XIM001+2485;OP22
297;20241029.022;3;2;XIM001+2485;OP22
296;20241029.020;3;2;XIM001+2485;OP22
291;20241029.015;3;2;XIM001+2485;OP22
247;20241024.034;3;2;EIM000+2520;OP22
237;20241024.019;3;2;EIM000+2520;OP22
204;20241023.045;3;2;EIM000+2520;OP22
202;20241023.043;3;2;EIM000+2520;OP22
195;20241023.032;3;2;EIM000+2520;OP22
188;20241023.022;3;2;EIM000+2520;OP22
107;20241010.039;3;2;EIM000+2520;OP22
101;20241010.033;3;2;EIM000+2520;OP22
49;20241001.026;3;2;KJM001+2650;OP22
47;20241001.021;3;2;KJM001+2650;OP22
12;20240925.060;3;2;EJM007+2520;OP22
1756;20250403.035;2;2;EIM000+2520;OP23
800;20241203.007;2;2;EIM000+2520;OP22
1948;20250424.050;1;2;EIM000+2614;OP23
1813;20250408.063;1;2;EIM000+2520;OP23
1812;20250408.061;1;2;EIM000+2520;OP23
1791;20250403.074;1;2;EIM000+2520;OP23
1781;20250403.064;1;2;EIM000+2520;OP23
1684;20250402.033;1;2;KJM008+2520;OP23
1666;20250401.083;3;1;DBM000+2520;OP23
1659;20250401.074;3;1;DBM000+2520;OP23
1641;20250401.040;3;1;EIM000+2614;OP23
1635;20250401.033;3;1;EIM000+2614;OP23
1631;20250401.026;3;1;EIM000+2614;OP23
1630;20250401.025;3;1;EIM000+2614;OP23
1628;20250401.015;3;1;EIM000+2520;OP23
1625;20250401.012;3;1;EIM000+2520;OP23
1531;20250325.062;3;1;EJM006-2520;OP23
1451;20250318.066;3;1;EIM000-1800;OP23
1449;20250318.064;3;1;EIM000-1800;OP23
1281;20250306.014;3;1;EIM000-2520;OP23
1275;20250306.006;3;1;EIM000-2520;OP23
1237;20250304.085;3;1;EIM000-2520;OP23
1236;20250304.084;3;1;EIM000-2520;OP23
1234;20250304.082;3;1;EIM000-2520;OP23
1230;20250304.078;3;1;EIM000-2520;OP23
1191;20250226.060;3;1;DBM000-2520;OP23
1177;20250226.038;3;1;DBM000-2520;OP23
1162;20250225.051;3;1;EIM000-2520;OP23
1160;20250225.049;3;1;EIM000-2520;OP23
1159;20250225.047;3;1;EIM000-2520;OP23
1150;20250220.040;3;1;EIM000-2520;OP23
1149;20250220.039;3;1;EIM000-2520;OP23
1133;20250220.017;3;1;EIM000-2520;OP23
1130;20250220.014;3;1;EIM000-2520;OP23
1128;20250220.012;3;1;EIM000-2520;OP23
1127;20250220.011;3;1;EIM000-2520;OP23
1090;20241212.060;3;1;EIM000+2520;OP22
1087;20241212.057;3;1;EIM000+2520;OP22
1037;20241211.049;3;1;DIR001+2520;OP22
1025;20241211.032;3;1;AIM000+2520;OP22
1014;20241211.020;3;1;AIM000+2520;OP22
1002;20241211.007;3;1;AIM000+2520;OP22
1000;20241210.108;3;1;EIM000+2520;OP22
843;20241203.074;3;1;EIM000+2614;OP22
842;20241203.073;3;1;EIM000+2614;OP22
835;20241203.065;3;1;EIM000+2614;OP22
825;20241203.045;3;1;EIM000+2520;OP22
820;20241203.036;3;1;EIM000+2520;OP22
819;20241203.035;3;1;EIM000+2520;OP22
818;20241203.034;3;1;EIM000+2520;OP22
815;20241203.031;3;1;EIM000+2520;OP22
814;20241203.030;3;1;EIM000+2520;OP22
813;20241203.029;3;1;EIM000+2520;OP22
811;20241203.027;3;1;EIM000+2520;OP22
810;20241203.026;3;1;EIM000+2520;OP22
702;20241127.039;3;1;EIM000+2520;OP22
694;20241127.030;3;1;EIM000+2520;OP22
689;20241127.025;3;1;EIM000+2520;OP22
685;20241127.019;3;1;EIM000+2520;OP22
642;20241126.011;3;1;EIM000+2520;OP22
637;20241126.006;3;1;EIM000+2520;OP22
569;20241119.089;3;1;EIM000+2614;OP22
563;20241119.072;3;1;EIM000+2614;OP22
561;20241119.068;3;1;EIM000+2614;OP22
558;20241119.064;3;1;EIM000+2520;OP22
557;20241119.062;3;1;EIM000+2614;OP22
545;20241119.039;3;1;EIM000+2520;OP22
544;20241119.038;3;1;EIM000+2520;OP22
543;20241119.037;3;1;EIM000+2520;OP22
535;20241119.014;3;1;EIM000+2520;OP22
500;20241114.022;3;1;FTM004+2585;OP22
456;20241112.078;3;1;EIM000+2614;OP22
449;20241112.071;3;1;EIM000+2614;OP22
435;20241112.057;3;1;EKM004+2620;OP22
430;20241112.049;3;1;KJM008+2620;OP22
424;20241112.023;3;1;KJM008+2620;OP22
421;20241112.017;3;1;KJM008+2620;OP22
415;20241107.040;3;1;EHM004+2544;OP22
414;20241107.038;3;1;EHM004+2544;OP22
413;20241107.035;3;1;EHM006+2556;OP22
412;20241107.026;3;1;EHM006+2556;OP22
411;20241107.024;3;1;EHM006+2556;OP22
408;20241106.056;3;1;DBM000+2520;OP22
407;20241106.055;3;1;DBM000+2520;OP22
406;20241106.054;3;1;DBM000+2520;OP22
403;20241106.051;3;1;DBM000+2520;OP22
356;20241105.062;3;1;EIM000+2520;OP22
354;20241105.060;3;1;EIM000+2520;OP22
352;20241105.057;3;1;EIM000+2520;OP22
322;20241105.023;3;1;EIM000+2520;OP22
318;20241105.019;3;1;EIM000+2520;OP22
315;20241105.016;3;1;EIM000+2520;OP22
314;20241105.015;3;1;EIM000+2520;OP22
310;20241105.010;3;1;EIM000+2520;OP22
289;20241029.012;3;1;XIM001+2485;OP22
219;20241023.067;3;1;EIM000+2520;OP22
203;20241023.044;3;1;EIM000+2520;OP22
197;20241023.035;3;1;EIM000+2520;OP22
192;20241023.028;3;1;EIM000+2520;OP22
191;20241023.027;3;1;EIM000+2520;OP22
190;20241023.026;3;1;EIM000+2520;OP22
112;20241010.044;3;1;EIM000+2520;OP22
97;20241010.017;3;1;EJM013+2620;OP22
95;20241010.014;3;1;EJM013+2620;OP22
87;20241009.064;3;1;KJM008+2520;OP22
83;20241009.055;3;1;KJM008+2520;OP22
58;20241001.060;3;1;KJM008+2520;OP22
57;20241001.059;3;1;KJM008+2520;OP22
56;20241001.058;3;1;KJM008+2520;OP22
50;20241001.028;3;1;KJM001+2650;OP22
48;20241001.025;3;1;KJM001+2650;OP22
46;20241001.020;3;1;KJM001+2650;OP22
25;20240926.020;3;1;EIM000+2520;OP22
1987;20250514.022;2;1;EIM000+2520;OP23
1894;20250410.005;1;1;EIM000+2520;OP23
1884;20250409.085;1;1;EIM000+2520;OP23
1754;20250403.033;1;1;EIM000+2520;OP23
1698;20250402.051;1;1;KJM008+2520;OP23
1118;20250218.085;1;1;EIM000-2520;OP23
1663;20250401.079;2;0;DBM000+2520;OP23
1660;20250401.075;2;0;DBM000+2520;OP23
1651;20250401.059;2;0;DBM000+2520;OP23
1650;20250401.058;2;0;DBM000+2520;OP23
1649;20250401.057;2;0;DBM000+2520;OP23
1648;20250401.055;2;0;DBM000+2520;OP23
1645;20250401.052;2;0;DBM000+2520;OP23
1624;20250401.008;2;0;EIM000+2520;OP23
1623;20250401.007;2;0;EIM000+2520;OP23
1425;20250313.043;2;0;EIM000-2620;OP23
1282;20250306.015;2;0;EIM000-2520;OP23
1232;20250304.080;2;0;EIM000-2520;OP23
1226;20250304.073;2;0;EIM000-2520;OP23
1179;20250226.041;2;0;DBM000-2520;OP23
1148;20250220.038;2;0;EIM000-2520;OP23
1125;20250220.009;2;0;EIM000-2520;OP23
1092;20241212.062;2;0;EIM000+2520;OP22
1051;20241211.083;2;0;DIR001+2520;OP22
1039;20241211.052;2;0;DIR001+2520;OP22
1008;20241211.014;2;0;AIM000+2520;OP22
1003;20241211.008;2;0;AIM000+2520;OP22
995;20241210.101;2;0;EIM000+2520;OP22
994;20241210.100;2;0;EIM000+2520;OP22
992;20241210.098;2;0;EIM000+2520;OP22
839;20241203.070;2;0;EIM000+2614;OP22
826;20241203.052;2;0;EIM000+2520;OP22
823;20241203.042;2;0;EIM000+2520;OP22
817;20241203.033;2;0;EIM000+2520;OP22
808;20241203.023;2;0;EIM000+2520;OP22
807;20241203.022;2;0;EIM000+2520;OP22
805;20241203.019;2;0;EIM000+2520;OP22
804;20241203.016;2;0;EIM000+2520;OP22
803;20241203.011;2;0;EIM000+2520;OP22
801;20241203.008;2;0;EIM000+2520;OP22
786;20241128.080;2;0;EIM000+2520;OP22
707;20241127.044;2;0;EIM000+2520;OP22
695;20241127.031;2;0;EIM000+2520;OP22
688;20241127.024;2;0;EIM000+2520;OP22
636;20241126.005;2;0;EIM000+2520;OP22
571;20241120.016;2;0;KJM008+2520;OP22
423;20241112.021;2;0;KJM008+2620;OP22
418;20241107.047;2;0;EHM004+2544;OP22
417;20241107.045;2;0;EHM004+2544;OP22
409;20241106.057;2;0;DBM000+2520;OP22
405;20241106.053;2;0;DBM000+2520;OP22
402;20241106.050;2;0;DBM000+2520;OP22
290;20241029.014;2;0;XIM001+2485;OP22
288;20241029.011;2;0;XIM001+2485;OP22
284;20241024.079;2;0;EIM000+2520;OP22
243;20241024.026;2;0;EIM000+2520;OP22
215;20241023.063;2;0;EIM000+2520;OP22
206;20241023.049;2;0;EIM000+2520;OP22
205;20241023.046;2;0;EIM000+2520;OP22
187;20241023.021;2;0;EIM000+2520;OP22
181;20241023.011;2;0;EIM000+2520;OP22
180;20241023.010;2;0;EIM000+2520;OP22
113;20241010.045;2;0;EIM000+2520;OP22
111;20241010.043;2;0;EIM000+2520;OP22
108;20241010.040;2;0;EIM000+2520;OP22
106;20241010.038;2;0;EIM000+2520;OP22
105;20241010.037;2;0;EIM000+2520;OP22
103;20241010.035;2;0;EIM000+2520;OP22
94;20241010.010;2;0;EJM013+2620;OP22
93;20241010.009;2;0;EKM006+2620;OP22
92;20241010.008;2;0;EKM006+2620;OP22
91;20241010.007;2;0;EKM006+2620;OP22
90;20241010.006;2;0;EKM006+2620;OP22
89;20241010.005;2;0;EKM006+2620;OP22
82;20241009.038;2;0;KJM008+2520;OP22
78;20241009.026;2;0;KJM008+2520;OP22
75;20241009.021;2;0;KJM008+2520;OP22
62;20241008.048;2;0;EIM000+2520;OP22
54;20241001.053;2;0;KJM008+2520;OP22
51;20241001.046;2;0;KJM008+2520;OP22
45;20241001.019;2;0;KJM001+2650;OP22
44;20241001.018;2;0;KJM001+2650;OP22
43;20241001.017;2;0;KJM001+2650;OP22
42;20241001.011;2;0;KJM001+2650;OP22
37;20240926.048;2;0;EIM000+2520;OP22
21;20240926.010;2;0;EIM000+2520;OP22
19;20240926.008;2;0;EIM000+2520;OP22
18;20240926.007;2;0;EIM000+2520;OP22
16;20240926.005;2;0;EIM000+2520;OP22
1843;20250409.027;1;0;DBM000+2520;OP23
1697;20250402.048;1;0;KJM008+2520;OP23
1695;20250402.046;1;0;KJM008+2520;OP23
1691;20250402.041;1;0;KJM008+2520;OP23
1647;20250401.054;1;0;DBM000+2520;OP23
1626;20250401.013;1;0;EIM000+2520;OP23
1532;20250325.064;1;0;EJM006-2520;OP23
1523;20250325.043;1;0;EIM000-2520;OP23
1498;20250320.081;1;0;EIM000-2520;OP23
1497;20250320.077;1;0;EIM000-2520;OP23
1458;20250319.050;1;0;KJM008-2620;OP23
1407;20250313.013;1;0;EIM000-2520;OP23
1406;20250313.012;1;0;EIM000-2520;OP23
1283;20250306.017;1;0;EIM000-2520;OP23
1276;20250306.008;1;0;EIM000-2520;OP23
1231;20250304.079;1;0;EIM000-2520;OP23
1229;20250304.077;1;0;EIM000-2520;OP23
1228;20250304.076;1;0;EIM000-2520;OP23
1227;20250304.075;1;0;EIM000-2520;OP23
1225;20250304.072;1;0;EIM000-2520;OP23
1224;20250304.071;1;0;EIM000-2520;OP23
1223;20250304.070;1;0;EIM000-2520;OP23
1222;20250304.069;1;0;EIM000-2520;OP23
1221;20250304.060;1;0;EIM000-2520;OP23
1189;20250226.057;1;0;DBM000-2520;OP23
1170;20250225.072;1;0;EIM000-2520;OP23
1168;20250225.070;1;0;EIM000-2520;OP23
1167;20250225.057;1;0;EIM000-2520;OP23
1166;20250225.055;1;0;EIM000-2520;OP23
1165;20250225.054;1;0;EIM000-2520;OP23
1164;20250225.053;1;0;EIM000-2520;OP23
1163;20250225.052;1;0;EIM000-2520;OP23
1161;20250225.050;1;0;EIM000-2520;OP23
1154;20250220.045;1;0;EIM000-2520;OP23
1153;20250220.044;1;0;EIM000-2520;OP23
1152;20250220.043;1;0;EIM000-2520;OP23
1151;20250220.042;1;0;EIM000-2520;OP23
1147;20250220.037;1;0;EIM000-2520;OP23
1146;20250220.036;1;0;EIM000-2520;OP23
1145;20250220.035;1;0;EIM000-2520;OP23
1144;20250220.034;1;0;EIM000-2520;OP23
1143;20250220.033;1;0;EIM000-2520;OP23
1142;20250220.032;1;0;EIM000-2520;OP23
