;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_change;R_limit_failure;ne;std_ne;Te;std_Te
59;50209;OP22;EIM000+2520;20241119.041;2.0;0.0;False;0.11575401015738924;8.91e+18;1e+17;15.91;0.33
60;50209;OP22;EIM000+2520;20241119.041;7.0;0.0;False;0.0;;;;
61;50209;OP22;EIM000+2520;20241119.045;2.0;0.0;False;0.13102303591188008;2.77e+18;5e+16;12.02;0.27
62;50209;OP22;EIM000+2520;20241119.045;7.0;0.0;False;0.0;2e+16;;17.57;
63;50209;OP22;EIM000+2520;20241121.013;0.5;0.0;False;0.05283796691971243;;;;
64;50209;OP22;EIM000+2520;20241121.013;3.5;0.011363636363636364;True;0.13851725178553465;;;;
65;50209;OP22;EIM000+2520;20241121.013;7.0;0.023529411764705882;True;0.14106046886004628;;;;
66;50209;OP22;EIM000+2520;20241121.013;10.0;0.07777777777777778;True;0.1486153691511283;;;;
67;50209;OP22;EIM000+2520;20241121.013;14.0;0.125;True;0.1284708249496982;;;;
68;50209;OP22;EIM000+2520;20241121.013;18.0;0.0;False;0.0;;;;
69;50209;OP22;EIM000+2520;20241121.014;0.5;0.011494252873563218;True;0.08553326293558607;4.5700000000000005e+18;4e+16;12.09;0.15
70;50209;OP22;EIM000+2520;20241121.014;3.5;0.022727272727272728;True;0.1509604747058232;1.214e+19;8e+16;16.37;0.21
71;50209;OP22;EIM000+2520;20241121.014;7.0;0.045454545454545456;True;0.12577319587628866;5.16e+18;3e+16;17.13;0.18
72;50209;OP22;EIM000+2520;20241121.014;10.0;0.1188118811881188;True;0.1535059060065343;1.033e+19;3e+16;16.07;0.1
73;50209;OP22;EIM000+2520;20241121.014;14.0;0.08;True;0.0753693096171239;7.49e+18;4e+16;27.83;0.31
74;50209;OP22;EIM000+2520;20241121.014;18.0;0.0;False;0.0;9.89e+18;5.74e+18;0.15;0.16
75;50209;OP22;EIM000+2520;20241121.015;0.5;0.15;True;0.17121463390120106;;;;
76;50209;OP22;EIM000+2520;20241121.015;3.5;0.07291666666666667;True;0.13603698678325543;;;;
77;50209;OP22;EIM000+2520;20241121.015;7.0;0.24489795918367346;True;0.16877828054298644;;;;
78;50209;OP22;EIM000+2520;20241121.015;10.0;0.39603960396039606;True;0.1561572140304967;;;;
79;50209;OP22;EIM000+2520;20241121.015;14.0;0.2336448598130841;True;0.16622266901231464;;;;
80;50209;OP22;EIM000+2520;20241121.015;18.0;0.0;False;0.0;;;;
81;50209;OP22;EIM000+2520;20241121.016;0.5;0.3211009174311927;True;0.2140774258421317;;;;
82;50209;OP22;EIM000+2520;20241121.016;3.5;0.1368421052631579;True;0.1788515687851971;;;;
83;50209;OP22;EIM000+2520;20241121.016;7.0;0.18888888888888888;True;0.16621390481939832;;;;
84;50209;OP22;EIM000+2520;20241121.016;10.0;0.29906542056074764;True;0.1485711410746629;;;;
85;50209;OP22;EIM000+2520;20241121.016;14.0;0.27419354838709675;True;0.1461070008556042;;;;
86;50209;OP22;EIM000+2520;20241121.016;18.0;0.0;False;0.0;;;;
87;50209;OP22;EIM000+2520;20241121.077;0.5;0.011764705882352941;True;0.12089072082034784;;;;
88;50209;OP22;EIM000+2520;20241121.077;3.5;0.011494252873563218;True;0.13335679099225897;;;;
89;50209;OP22;EIM000+2520;20241121.077;7.0;0.011764705882352941;True;0.15357932837321536;;;;
90;50209;OP22;EIM000+2520;20241121.077;10.0;0.011235955056179775;True;0.16355774548745539;;;;
91;50209;OP22;EIM000+2520;20241121.078;0.5;0.033707865168539325;True;0.1460888799517394;4.0199999999999995e+18;5e+16;13.69;0.33
92;50209;OP22;EIM000+2520;20241121.078;3.5;0.07526881720430108;True;0.14574227581009797;2.74e+18;4e+16;13.27;0.24
93;50209;OP22;EIM000+2520;20241121.078;7.0;0.022727272727272728;True;0.14360418342719228;4.47e+18;5e+16;11.18;0.22
94;50209;OP22;EIM000+2520;20241121.078;10.0;0.06976744186046512;True;0.1486452520987282;4.5999999999999995e+18;2e+16;9.46;0.07
95;50209;OP22;EIM000+2520;20241121.082;0.5;0.07777777777777778;True;0.18889559444779722;;;;
96;50209;OP22;EIM000+2520;20241121.082;3.5;0.011764705882352941;True;0.15103826235607623;;;;
97;50209;OP22;EIM000+2520;20241121.082;7.0;0.03225806451612903;True;0.16878019323671498;;;;
98;50209;OP22;EIM000+2520;20241121.082;10.0;0.07526881720430108;True;0.17133376904127495;;;;
99;50209;OP22;EIM000+2520;20241121.081;0.5;0.0;False;0.1157153633392004;3.22e+18;4e+16;10.88;0.22
100;50209;OP22;EIM000+2520;20241121.081;3.5;0.054945054945054944;True;0.12332143036765075;3.64e+18;3e+16;10.44;0.14
101;50209;OP22;EIM000+2520;20241121.081;7.0;0.04395604395604396;True;0.14616352201257862;4.58e+18;5e+16;10.09;0.21
102;50209;OP22;EIM000+2520;20241121.081;10.0;0.056818181818181816;True;0.1663482807158657;5.33e+18;6e+16;8.59;0.18
103;50209;OP22;EIM000+2520;20241121.079;0.5;0.03333333333333333;True;0.1407035175879397;;;;
104;50209;OP22;EIM000+2520;20241121.079;3.5;0.022727272727272728;True;0.16371592395131274;;;;
105;50209;OP22;EIM000+2520;20241121.079;7.0;0.07368421052631578;True;0.15120724346076458;;;;
106;50209;OP22;EIM000+2520;20241121.079;10.0;0.13829787234042554;True;0.17887692462513838;;;;
107;50209;OP22;EIM000+2520;20241121.080;0.5;0.012048192771084338;True;0.14611826226870475;4.28e+18;4e+16;12.35;0.21
108;50209;OP22;EIM000+2520;20241121.080;3.5;0.022727272727272728;True;0.14104046242774568;3.88e+18;4e+16;10.86;0.18
109;50209;OP22;EIM000+2520;20241121.080;7.0;0.022988505747126436;True;0.16127897038861796;4.64e+18;5e+16;11.38;0.18
110;50209;OP22;EIM000+2520;20241121.080;10.0;0.07777777777777778;True;0.15625157106228948;5.22e+18;4e+16;9.97;0.14
111;50209;OP22;EIM000+2520;20241126.006;0.5;0.0;False;0.0754261577915221;1.89e+18;5e+16;14.0;0.69
112;50209;OP22;EIM000+2520;20241126.006;3.5;0.022727272727272728;True;0.12591139940664756;4.45e+18;3e+16;8.55;0.1
113;50209;OP22;EIM000+2520;20241126.006;6.5;0.044444444444444446;True;0.118318499522301;2.44e+18;1e+16;11.98;0.09
114;50209;OP22;EIM000+2520;20241126.006;9.5;0.0;False;0.10566815872856208;2.66e+18;1e+16;8.47;0.04
115;50209;OP22;EIM000+2520;20241126.005;0.5;0.011904761904761904;True;0.0829979879275654;2.52e+18;1e+16;9.81;0.09
116;50209;OP22;EIM000+2520;20241126.005;3.5;0.0;False;0.13337356668678335;4.4299999999999995e+18;1e+16;9.18;0.06
117;50209;OP22;EIM000+2520;20241126.005;6.5;0.011904761904761904;True;0.10818419465111602;2.37e+18;1e+16;10.56;0.12
118;50209;OP22;EIM000+2520;20241126.007;0.5;0.0;False;0.11319995978687042;2.94e+18;2e+16;7.66;0.08
119;50209;OP22;EIM000+2520;20241126.007;3.5;0.034482758620689655;True;0.1183866425266546;4.41e+18;1e+16;9.94;0.06
120;50209;OP22;EIM000+2520;20241126.007;6.5;0.033707865168539325;True;0.1334070574042425;2.46e+18;2e+16;13.91;0.12
121;50209;OP22;EIM000+2520;20241126.007;9.5;0.08791208791208792;True;0.15110843010104058;3.02e+18;1e+16;14.18;0.07
122;50209;OP22;EIM000+2520;20241126.008;0.5;0.011627906976744186;True;0.07801347139841158;2.38e+18;1e+16;8.28;0.09
123;50209;OP22;EIM000+2520;20241126.008;3.5;0.023529411764705882;True;0.1485949831599055;4.5199999999999995e+18;2e+16;10.64;0.07
124;50209;OP22;EIM000+2520;20241126.008;6.5;0.03296703296703297;True;0.12851466224032995;3.5e+18;2e+16;11.48;0.07
125;50209;OP22;EIM000+2520;20241126.008;9.5;0.11235955056179775;True;0.14863640937908826;4.33e+18;1e+16;11.45;0.05
126;50209;OP22;EIM000+2520;20241126.010;0.5;0.0;False;0.09803921568627451;;;;
