;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
6537;50209;OP23;FTM004+2520;20250429.039;2.2;1.0;True;True;1.0;True;3;True;;;;
6538;50209;OP23;FTM004+2520;20250429.039;3.2;1.0;True;True;1.0;True;3;True;;;;
6539;50209;OP23;FTM004+2520;20250429.039;4.2;1.0;True;True;1.0;True;3;True;;;;
6672;50209;OP23;KJM008+2520;20250402.026;13.0;1.0;True;True;1.0;True;3;True;;;;
6673;50209;OP23;KJM008+2520;20250402.026;16.0;1.0;True;True;1.0;True;3;True;;;;
6674;50209;OP23;KJM008+2520;20250402.026;18.0;1.0;True;True;1.0;True;3;True;;;;
7167;50209;OP23;KTM000+2590;20250424.033;5.0;1.0;True;True;0.9974898338269993;True;3;True;;;;
7208;50209;OP23;KTM000+2590;20250424.023;5.0;1.0;True;True;0.997480600624811;True;3;True;;;;
7147;50209;OP23;KTM000+2590;20250424.036;3.0;1.0;True;True;0.9974322827509817;True;3;True;;;;
7161;50209;OP23;KTM000+2590;20250424.024;3.0;1.0;True;True;0.997429435483871;True;3;True;;;;
7170;50209;OP23;KTM000+2590;20250424.033;11.0;1.0;True;True;0.9949784071507483;True;3;True;;;;
4923;50209;OP23;EIM000+2520;20250408.044;14.0;1.0;True;True;0.9949688066009258;True;3;True;1e+21;4.896e+19;10.26;
7206;50209;OP23;KTM000+2590;20250424.026;13.0;1.0;True;True;0.992469501480998;True;3;True;;;;
7165;50209;OP23;KTM000+2590;20250424.024;11.0;1.0;True;True;0.9924691234059645;True;3;True;;;;
431;50209;OP22;EIM000+2420;20241128.028;10.6;1.0;True;True;0.9924668541582965;True;3;True;6.0981e+20;;126.42;
7148;50209;OP23;KTM000+2590;20250424.036;5.0;1.0;True;True;0.9924645835426504;True;3;True;;;;
7166;50209;OP23;KTM000+2590;20250424.033;3.0;1.0;True;True;0.9924592801126081;True;3;True;;;;
451;50209;OP22;EIM000+2420;20241128.032;10.6;1.0;True;True;0.9924513109556641;True;3;True;;;;
4921;50209;OP23;EIM000+2520;20250408.044;11.0;1.0;True;True;0.9924490309589731;True;3;True;0.0;;11.15;2442.45
7203;50209;OP23;KTM000+2590;20250424.026;7.0;1.0;True;True;0.9924414210128496;True;3;True;;;;
7156;50209;OP23;KTM000+2590;20250424.030;3.0;1.0;True;True;0.9899542920287308;True;3;True;;;;
7198;50209;OP23;KTM000+2590;20250424.031;9.0;1.0;True;True;0.9899512636285988;True;3;True;;;;
4922;50209;OP23;EIM000+2520;20250408.044;13.0;1.0;True;True;0.9899391317470698;True;3;True;1e+21;7.306999999999999e+19;10.05;
7157;50209;OP23;KTM000+2590;20250424.030;5.0;1.0;True;True;0.9899345747357826;True;3;True;;;;
7210;50209;OP23;KTM000+2590;20250424.023;9.0;1.0;True;True;0.9899289994460949;True;3;True;;;;
7162;50209;OP23;KTM000+2590;20250424.024;5.0;1.0;True;True;0.9898709937512599;True;3;True;;;;
2314;50209;OP22;EIM000+2520;20241105.062;3.8;1.0;True;True;0.9874447569304942;True;3;True;;;;
7150;50209;OP23;KTM000+2590;20250424.036;9.0;1.0;True;True;0.9874428650359134;True;3;True;;;;
7207;50209;OP23;KTM000+2590;20250424.023;3.0;1.0;True;True;0.9874321335210134;True;3;True;;;;
443;50209;OP22;EIM000+2420;20241128.023;10.6;1.0;True;True;0.9874163185181457;True;3;True;;;;
7169;50209;OP23;KTM000+2590;20250424.033;9.0;1.0;True;True;0.9873831305921383;True;3;True;;;;
7201;50209;OP23;KTM000+2590;20250424.026;3.0;1.0;True;True;0.9848866498740554;True;3;True;;;;
4920;50209;OP23;EIM000+2520;20250408.044;9.0;1.0;True;True;0.9848591549295774;True;3;True;1e+21;7.488e+19;10.47;
7205;50209;OP23;KTM000+2590;20250424.026;11.0;1.0;True;True;0.982418244838499;True;3;True;;;;
7159;50209;OP23;KTM000+2590;20250424.030;9.0;1.0;True;True;0.9823766364551864;True;3;True;;;;
7209;50209;OP23;KTM000+2590;20250424.023;7.0;1.0;True;True;0.9823757490306662;True;3;True;;;;
