;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_change;R_limit_failure;ne;std_ne;Te;std_Te
43;50209;OP22;AIM000+2520;20241211.020;29.0;0.0;False;0.0;1.56e+18;1e+16;11.44;0.11
44;50209;OP22;AIM000+2520;20241211.020;33.0;0.0;False;0.017603862790463738;2.21e+18;2e+16;11.06;0.15
45;50209;OP22;AIM000+2520;20241211.019;1.0;0.36363636363636365;True;0.12343569382318943;9.029999999999999e+18;3e+16;10.37;0.07
46;50209;OP22;AIM000+2520;20241211.019;4.5;0.1595744680851064;True;0.10568656041027703;6.41e+18;2e+16;10.77;0.08
47;50209;OP22;AIM000+2520;20241211.019;8.0;0.4111111111111111;True;0.12595573440643862;8.26e+18;5e+16;11.01;0.12
48;50209;OP22;AIM000+2520;20241211.021;1.0;0.125;True;0.08065164923572003;7.75e+18;3e+16;10.97;0.07
49;50209;OP22;AIM000+2520;20241211.021;5.0;0.12;True;0.10074983644507071;7.65e+18;2e+16;10.96;0.06
50;50209;OP22;AIM000+2520;20241211.021;9.0;0.14736842105263157;True;0.1032125081695239;6.95e+18;2e+16;10.41;0.06
51;50209;OP22;AIM000+2520;20241211.021;13.0;0.14130434782608695;True;0.09818419596599769;6.18e+18;3e+16;10.75;0.07
52;50209;OP22;AIM000+2520;20241211.021;17.0;0.23863636363636365;True;0.11586623082725672;6.69e+18;4e+16;10.97;0.14
53;50209;OP22;AIM000+2520;20241211.021;21.0;0.3448275862068966;True;0.12597435252703043;6.71e+18;7.000000000000001e+16;11.61;0.24
54;50209;OP22;AIM000+2520;20241211.021;25.0;0.4157303370786517;True;0.12345989439275835;6.7e+18;8e+16;10.79;0.27
55;50209;OP22;AIM000+2520;20241211.021;29.0;0.3595505617977528;True;0.11837740022117221;6.84e+18;8e+16;11.41;0.27
56;50209;OP22;AIM000+2520;20241211.021;33.0;0.0;False;0.0;0.0;0.0;1.0;0.64
57;50209;OP22;AIM000+2520;20241211.022;1.0;0.3707865168539326;True;0.1310056849625195;8.77e+18;3e+16;10.54;0.07
58;50209;OP22;AIM000+2520;20241211.022;5.0;0.06382978723404255;True;0.037709286540298655;4.79e+18;1e+16;10.73;0.05
59;50209;OP22;AIM000+2520;20241211.022;9.0;0.01020408163265306;True;0.037703599436959584;3.58e+18;2e+16;11.67;0.12
60;50209;OP22;AIM000+2520;20241211.022;13.0;0.0;False;0.10567593383942486;3.74e+18;1e+16;11.43;0.07
61;50209;OP22;AIM000+2520;20241211.022;17.0;0.023529411764705882;True;0.0176020921343794;3.47e+18;2e+16;11.73;0.14
62;50209;OP22;AIM000+2520;20241211.022;21.0;0.0;True;0.022634676324128564;3.88e+18;5e+16;11.46;0.31
63;50209;OP22;AIM000+2520;20241211.022;25.0;0.0;False;0.10064886072129169;3.34e+18;3e+16;11.95;0.22
64;50209;OP22;AIM000+2520;20241211.022;29.0;0.011363636363636364;True;0.04788009857667354;3.88e+18;3e+16;11.73;0.17
65;50209;OP22;AIM000+2520;20241211.022;33.0;0.011627906976744186;False;0.11840120663650075;4.74e+18;4e+16;11.33;0.18
66;50209;OP22;AIM000+2520;20241211.024;1.0;0.5916666666666667;True;0.1410320893270295;;;;
67;50209;OP22;AIM000+2520;20241211.024;5.0;0.0;False;0.0;;;;
68;50209;OP22;AIM000+2520;20241211.027;1.0;0.5925925925925926;True;0.12090730775033949;;;;
69;50209;OP22;AIM000+2520;20241211.027;5.0;0.0;False;0.0;;;;
70;50209;OP22;AIM000+2520;20241211.025;1.0;0.5882352941176471;True;0.13343388637506284;1.481e+19;6e+16;9.46;0.07
71;50209;OP22;AIM000+2520;20241211.025;5.0;0.45544554455445546;True;0.118378024852845;1.198e+19;4e+16;9.92;0.06
72;50209;OP22;AIM000+2520;20241211.025;9.0;0.0;False;0.0;0.0;0.0;1.0;0.59
73;50209;OP22;AIM000+2520;20241211.026;1.0;0.5423728813559322;True;0.1334808630488357;1.288e+19;4e+16;9.94;0.06
