;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
272;20250226.074;3;2;DBM000-2520;OP23
250;20250226.038;3;2;DBM000-2520;OP23
209;20241212.060;3;2;EIM000+2520;OP22
205;20241212.056;3;2;EIM000+2520;OP22
200;20241212.051;3;2;EIM000+2520;OP22
169;20241212.016;3;2;EIM000+2520;OP22
146;20241211.051;3;2;DIR001+2520;OP22
145;20241211.049;3;2;DIR001+2520;OP22
144;20241211.048;3;2;DIR001+2520;OP22
143;20241211.047;3;2;DIR001+2520;OP22
142;20241211.046;3;2;DIR001+2520;OP22
85;20241203.007;2;2;EIM000+2520;OP22
775;20250508.099;1;2;EIM000+2520;OP23
770;20250508.094;1;2;EIM000+2520;OP23
768;20250508.092;1;2;EIM000+2520;OP23
766;20250508.089;1;2;EIM000+2520;OP23
763;20250508.086;1;2;EIM000+2520;OP23
757;20250508.080;1;2;EIM000+2520;OP23
747;20250508.070;1;2;EIM000+2520;OP23
684;20250507.018;1;2;EIM000+2520;OP23
519;20250424.050;1;2;EIM000+2614;OP23
394;20250401.083;3;1;DBM000+2520;OP23
393;20250401.081;3;1;DBM000+2520;OP23
383;20250401.068;3;1;DBM000+2520;OP23
382;20250401.066;3;1;DBM000+2520;OP23
380;20250401.063;3;1;DBM000+2520;OP23
373;20250401.050;3;1;DBM000+2520;OP23
265;20250226.060;3;1;DBM000-2520;OP23
253;20250226.041;3;1;DBM000-2520;OP23
90;20241203.064;3;1;EIM000+2614;OP22
67;20241127.009;3;1;EIM000+2520;OP22
66;20241127.008;3;1;EIM000+2520;OP22
7;20241001.055;2;1;KJM008+2520;OP22
242;20250218.085;1;1;EIM000-2520;OP23
54;20241112.081;1;1;EIM000+2614;OP22
12;20241023.042;1;1;EIM000+2520;OP22
11;20241023.040;1;1;EIM000+2520;OP22
418;20250409.027;2;0;DBM000+2520;OP23
401;20250408.032;2;0;DAM005+1800;OP23
400;20250408.025;2;0;DAM005+1800;OP23
395;20250401.084;2;0;DBM000+2520;OP23
389;20250401.076;2;0;DBM000+2520;OP23
387;20250401.074;2;0;DBM000+2520;OP23
386;20250401.072;2;0;DBM000+2520;OP23
381;20250401.065;2;0;DBM000+2520;OP23
379;20250401.061;2;0;DBM000+2520;OP23
377;20250401.057;2;0;DBM000+2520;OP23
376;20250401.056;2;0;DBM000+2520;OP23
374;20250401.053;2;0;DBM000+2520;OP23
361;20250327.068;2;0;EIM000-1800;OP23
180;20241212.028;2;0;EIM000+2520;OP22
94;20241203.080;2;0;EIM000+2614;OP22
88;20241203.060;2;0;EIM000+2614;OP22
39;20241112.056;2;0;EKM006+2620;OP22
32;20241106.056;2;0;DBM000+2520;OP22
31;20241106.055;2;0;DBM000+2520;OP22
30;20241106.054;2;0;DBM000+2520;OP22
29;20241106.053;2;0;DBM000+2520;OP22
28;20241106.052;2;0;DBM000+2520;OP22
27;20241106.050;2;0;DBM000+2520;OP22
15;20241029.037;2;0;DIR001+2520;OP22
14;20241029.028;2;0;DIR001+2520;OP22
391;20250401.079;1;0;DBM000+2520;OP23
388;20250401.075;1;0;DBM000+2520;OP23
378;20250401.060;1;0;DBM000+2520;OP23
375;20250401.054;1;0;DBM000+2520;OP23
