;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
5532;50209;OP23;FTM004+2520;20250429.039;2.2;1.0;True;True;1.0;True;3;True;;;;
5533;50209;OP23;FTM004+2520;20250429.039;3.2;1.0;True;True;1.0;True;3;True;;;;
5534;50209;OP23;FTM004+2520;20250429.039;4.2;1.0;True;True;1.0;True;3;True;;;;
5658;50209;OP23;KJM008+2520;20250402.026;13.0;1.0;True;True;1.0;True;3;True;;;;
5659;50209;OP23;KJM008+2520;20250402.026;16.0;1.0;True;True;1.0;True;3;True;;;;
5660;50209;OP23;KJM008+2520;20250402.026;18.0;1.0;True;True;1.0;True;3;True;;;;
6109;50209;OP23;KTM000+2590;20250424.033;5.0;1.0;True;True;0.9974898338269993;True;3;True;;;;
6150;50209;OP23;KTM000+2590;20250424.023;5.0;1.0;True;True;0.997480600624811;True;3;True;;;;
6089;50209;OP23;KTM000+2590;20250424.036;3.0;1.0;True;True;0.9974322827509817;True;3;True;;;;
6103;50209;OP23;KTM000+2590;20250424.024;3.0;1.0;True;True;0.997429435483871;True;3;True;;;;
6112;50209;OP23;KTM000+2590;20250424.033;11.0;1.0;True;True;0.9949784071507483;True;3;True;;;;
4338;50209;OP23;EIM000+2520;20250408.044;14.0;1.0;True;True;0.9949688066009258;True;3;True;1e+21;4.896e+19;10.26;
6148;50209;OP23;KTM000+2590;20250424.026;13.0;1.0;True;True;0.992469501480998;True;3;True;;;;
6107;50209;OP23;KTM000+2590;20250424.024;11.0;1.0;True;True;0.9924691234059645;True;3;True;;;;
375;50209;OP22;EIM000+2420;20241128.028;10.6;1.0;True;True;0.9924668541582965;True;3;True;6.0981e+20;;126.42;
6090;50209;OP23;KTM000+2590;20250424.036;5.0;1.0;True;True;0.9924645835426504;True;3;True;;;;
6108;50209;OP23;KTM000+2590;20250424.033;3.0;1.0;True;True;0.9924592801126081;True;3;True;;;;
395;50209;OP22;EIM000+2420;20241128.032;10.6;1.0;True;True;0.9924513109556641;True;3;True;;;;
4336;50209;OP23;EIM000+2520;20250408.044;11.0;1.0;True;True;0.9924490309589731;True;3;True;0.0;;11.15;2442.45
6145;50209;OP23;KTM000+2590;20250424.026;7.0;1.0;True;True;0.9924414210128496;True;3;True;;;;
6098;50209;OP23;KTM000+2590;20250424.030;3.0;1.0;True;True;0.9899542920287308;True;3;True;;;;
6140;50209;OP23;KTM000+2590;20250424.031;9.0;1.0;True;True;0.9899512636285988;True;3;True;;;;
4337;50209;OP23;EIM000+2520;20250408.044;13.0;1.0;True;True;0.9899391317470698;True;3;True;1e+21;7.306999999999999e+19;10.05;
6099;50209;OP23;KTM000+2590;20250424.030;5.0;1.0;True;True;0.9899345747357826;True;3;True;;;;
6152;50209;OP23;KTM000+2590;20250424.023;9.0;1.0;True;True;0.9899289994460949;True;3;True;;;;
6104;50209;OP23;KTM000+2590;20250424.024;5.0;1.0;True;True;0.9898709937512599;True;3;True;;;;
