;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
344;20241106.029;3;15;EHM001+2520;OP22
85;20241010.022;3;11;EJM013+2620;OP22
1611;20250408.053;1;11;EIM000+2520;OP23
704;20241128.068;3;10;EIM000+2520;OP22
1627;20250408.081;1;10;EIM000+2520;OP23
1626;20250408.080;1;10;EIM000+2520;OP23
1625;20250408.079;1;10;EIM000+2520;OP23
1613;20250408.057;1;10;EIM000+2520;OP23
1593;20250403.073;1;10;EIM000+2520;OP23
1589;20250403.069;1;10;EIM000+2520;OP23
1583;20250403.063;1;10;EIM000+2520;OP23
1606;20250408.043;3;8;EIM000+2520;OP23
974;20241212.021;3;8;EIM000+2520;OP22
973;20241212.020;3;8;EIM000+2520;OP22
934;20241211.023;3;8;AIM000+2520;OP22
932;20241211.021;3;8;AIM000+2520;OP22
417;20241112.081;3;8;EIM000+2614;OP22
414;20241112.077;3;8;EIM000+2614;OP22
413;20241112.076;3;8;EIM000+2614;OP22
84;20241010.020;3;8;EJM013+2620;OP22
1609;20250408.046;1;8;EIM000+2520;OP23
1570;20250403.046;1;8;EIM000+2520;OP23
1569;20250403.045;1;8;EIM000+2520;OP23
1567;20250403.043;1;8;EIM000+2520;OP23
1565;20250403.041;1;8;EIM000+2520;OP23
1558;20250403.034;1;8;EIM000+2520;OP23
1556;20250403.032;1;8;EIM000+2520;OP23
1555;20250403.031;1;8;EIM000+2520;OP23
1554;20250403.030;1;8;EIM000+2520;OP23
987;20241212.039;3;7;EIM000+2520;OP22
981;20241212.033;3;7;EIM000+2520;OP22
960;20241211.079;3;7;DIR001+2520;OP22
376;20241107.042;3;7;EHM004+2544;OP22
1600;20250403.080;1;7;EIM000+2520;OP23
1599;20250403.079;1;7;EIM000+2520;OP23
1598;20250403.078;1;7;EIM000+2520;OP23
1587;20250403.067;1;7;EIM000+2520;OP23
1562;20250403.038;1;7;EIM000+2520;OP23
1607;20250408.044;3;6;EIM000+2520;OP23
1090;20250226.064;3;6;DBM000-2520;OP23
965;20241212.010;3;6;EIM000+2520;OP22
959;20241211.077;3;6;DIR001+2520;OP22
635;20241127.040;3;6;EIM000+2520;OP22
399;20241112.062;3;6;EJM013+2620;OP22
398;20241112.061;3;6;EJM013+2620;OP22
397;20241112.060;3;6;EKM004+2620;OP22
393;20241112.056;3;6;EKM006+2620;OP22
392;20241112.055;3;6;EKM006+2620;OP22
181;20241023.064;3;6;EIM000+2520;OP22
1686;20250409.083;1;6;EIM000+2520;OP23
1684;20250409.081;1;6;EIM000+2520;OP23
1683;20250409.080;1;6;EIM000+2520;OP23
1623;20250408.076;1;6;EIM000+2520;OP23
1622;20250408.075;1;6;EIM000+2520;OP23
1582;20250403.062;1;6;EIM000+2520;OP23
1365;20250325.090;3;5;EIM000-2620;OP23
1094;20250226.072;3;5;DBM000-2520;OP23
961;20241211.080;3;5;DIR001+2520;OP22
623;20241127.027;3;5;EIM000+2520;OP22
406;20241112.069;3;5;EIM000+2614;OP22
402;20241112.065;3;5;EJM013+2620;OP22
401;20241112.064;3;5;EJM013+2620;OP22
400;20241112.063;3;5;EJM013+2620;OP22
396;20241112.059;3;5;EKM004+2620;OP22
343;20241106.028;3;5;EIM000+2520;OP22
310;20241105.054;3;5;EHM001+2520;OP22
305;20241105.049;3;5;EHM001+2520;OP22
300;20241105.043;3;5;EIM000+2520;OP22
298;20241105.040;3;5;EIM000+2520;OP22
296;20241105.038;3;5;EIM000+2520;OP22
294;20241105.036;3;5;EIM000+2520;OP22
288;20241105.030;3;5;EIM000+2520;OP22
287;20241105.029;3;5;EIM000+2520;OP22
286;20241105.028;3;5;EIM000+2520;OP22
165;20241023.040;3;5;EIM000+2520;OP22
1685;20250409.082;1;5;EIM000+2520;OP23
1621;20250408.073;1;5;EIM000+2520;OP23
1597;20250403.077;1;5;EIM000+2520;OP23
1595;20250403.075;1;5;EIM000+2520;OP23
1591;20250403.071;1;5;EIM000+2520;OP23
1588;20250403.068;1;5;EIM000+2520;OP23
1574;20250403.054;1;5;EIM000+2520;OP23
1573;20250403.053;1;5;EIM000+2520;OP23
1553;20250403.029;1;5;EIM000+2520;OP23
1552;20250403.028;1;5;EIM000+2520;OP23
1608;20250408.045;3;4;EIM000+2520;OP23
1471;20250401.086;3;4;DBM000+2520;OP23
1467;20250401.080;3;4;DBM000+2520;OP23
1465;20250401.077;3;4;DBM000+2520;OP23
1460;20250401.070;3;4;DBM000+2520;OP23
1459;20250401.069;3;4;DBM000+2520;OP23
1456;20250401.061;3;4;DBM000+2520;OP23
1260;20250313.019;3;4;EIM000-2520;OP23
1258;20250313.017;3;4;EIM000-2520;OP23
1125;20250304.086;3;4;EIM000-2520;OP23
1087;20250226.058;3;4;DBM000-2520;OP23
767;20241203.080;3;4;EIM000+2614;OP22
760;20241203.069;3;4;EIM000+2614;OP22
753;20241203.058;3;4;EIM000+2520;OP22
751;20241203.055;3;4;EIM000+2520;OP22
749;20241203.053;3;4;EIM000+2520;OP22
671;20241128.028;3;4;EIM000+2420;OP22
624;20241127.028;3;4;EIM000+2520;OP22
416;20241112.080;3;4;EIM000+2614;OP22
409;20241112.072;3;4;EIM000+2614;OP22
405;20241112.068;3;4;EIM000+2614;OP22
404;20241112.067;3;4;EIM000+2614;OP22
338;20241106.023;3;4;EIM000+2520;OP22
322;20241105.068;3;4;EIM000+2520;OP22
321;20241105.067;3;4;EIM000+2520;OP22
320;20241105.066;3;4;EIM000+2520;OP22
319;20241105.065;3;4;EIM000+2520;OP22
315;20241105.061;3;4;EIM000+2520;OP22
309;20241105.053;3;4;EHM001+2520;OP22
299;20241105.041;3;4;EIM000+2520;OP22
297;20241105.039;3;4;EIM000+2520;OP22
295;20241105.037;3;4;EIM000+2520;OP22
291;20241105.033;3;4;EIM000+2520;OP22
289;20241105.031;3;4;EIM000+2520;OP22
285;20241105.027;3;4;EIM000+2520;OP22
256;20241029.019;3;4;XIM001+2485;OP22
177;20241023.060;3;4;EIM000+2520;OP22
83;20241010.019;3;4;EJM013+2620;OP22
81;20241010.015;3;4;EJM013+2620;OP22
1620;20250408.071;2;4;EIM000+2520;OP23
1619;20250408.069;2;4;EIM000+2520;OP23
1624;20250408.078;1;4;EIM000+2520;OP23
1617;20250408.065;1;4;EIM000+2520;OP23
1614;20250408.059;1;4;EIM000+2520;OP23
1596;20250403.076;1;4;EIM000+2520;OP23
1495;20250402.042;1;4;KJM008+2520;OP23
1464;20250401.076;3;3;DBM000+2520;OP23
1461;20250401.072;3;3;DBM000+2520;OP23
