;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
788;50209;OP23;KJM008+2520;20250402.015;13.0;0.5131578947368421;True;True;0.48577900830606596;True;3;;;;
1004;50209;OP23;KJM008+2520;20250402.018;16.0;0.5961538461538461;True;True;0.4852416151254588;True;3;;;;
1001;50209;OP23;KJM008+2520;20250402.018;7.0;0.5752212389380531;True;True;0.4652683466626427;True;3;;;;
873;50209;OP23;KJM008+2520;20250402.019;13.0;0.5428571428571428;True;True;0.4525114384835839;True;3;;;;
876;50209;OP23;KJM008+2520;20250402.019;20.0;0.4854368932038835;True;True;0.4424778761061947;True;3;;;;
874;50209;OP23;KJM008+2520;20250402.019;16.0;0.5454545454545454;True;True;0.43504501332796863;True;3;;;;
967;50209;OP23;KJM008+2520;20250402.020;1.0;0.49019607843137253;True;True;0.43244330467139336;True;3;;;;
787;50209;OP23;KJM008+2520;20250402.015;10.0;0.5528455284552846;True;True;0.4323998189954246;True;3;;;;
849;50209;OP23;KJM008+2520;20250402.016;7.0;0.5566037735849056;True;True;0.43003721959561414;True;3;;;;
1002;50209;OP23;KJM008+2520;20250402.018;10.0;0.4752475247524752;True;True;0.41742104204385433;True;3;;;;
862;50209;OP23;KJM008+2520;20250402.013;20.0;0.5327102803738317;True;True;0.4172741440852647;True;3;;;;
855;50209;OP23;KJM008+2520;20250402.013;1.0;0.425531914893617;True;True;0.4075471698113208;True;3;;;;
999;50209;OP23;KJM008+2520;20250402.018;1.0;0.46464646464646464;True;True;0.40736270368135186;True;3;;;;
850;50209;OP23;KJM008+2520;20250402.016;10.0;0.4631578947368421;True;True;0.3947699270807141;True;3;;;;
1000;50209;OP23;KJM008+2520;20250402.018;4.0;0.4732142857142857;True;True;0.389937106918239;True;3;;;;
871;50209;OP23;KJM008+2520;20250402.019;7.0;0.47572815533980584;True;True;0.38974101081217;True;3;;;;
1006;50209;OP23;KJM008+2520;20250402.018;20.0;0.5188679245283019;True;True;0.3871486751470662;True;3;;;;
974;50209;OP23;KJM008+2520;20250402.020;20.0;0.5086206896551724;True;True;0.38457671425698775;True;3;;;;
786;50209;OP23;KJM008+2520;20250402.015;7.0;0.5175438596491229;True;True;0.37486162825802555;True;3;;;;
505;50209;OP23;DBM000+2520;20250401.069;8.0;0.8720379146919431;True;True;0.3499320959710276;True;3;4.441e+19;2.1e+17;19.09;0.2
969;50209;OP23;KJM008+2520;20250402.020;7.0;0.4326923076923077;True;True;0.3168854685377999;True;3;;;;
971;50209;OP23;KJM008+2520;20250402.020;13.0;0.3404255319148936;True;True;0.27643747486932047;True;3;;;;
500;50209;OP23;DBM000+2520;20250401.070;8.0;0.94140625;True;True;0.2618640659561633;True;3;4.508e+19;1.1e+17;24.19;0.13
504;50209;OP23;DBM000+2520;20250401.069;6.0;0.8404255319148937;True;True;0.2517992853188384;True;3;3.641e+19;1.3e+17;21.37;0.17
499;50209;OP23;DBM000+2520;20250401.070;6.0;0.8090452261306532;True;True;0.2115268557634279;True;3;3.195e+19;1e+17;23.83;0.16
586;50209;OP23;DBM000+2520;20250401.086;7.0;0.7384615384615385;True;True;0.2110128617363344;True;3;2.842e+19;7.000000000000001e+16;21.19;0.1
