;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
2703;50209;OP23;EIM000+2520;20250408.043;13.0;0.9685863874345549;False;True;0.8365881821376575;False;3;2.7754000000000003e+20;4.63e+18;200.0;8.97
1382;50209;OP22;EIM000+2520;20241128.066;3.0;0.9949044585987261;False;True;0.8362667203057428;False;3;;;;
1221;50209;OP22;EIM000+2520;20241106.026;3.0;1.0;False;True;0.8338698320088522;False;3;;;;
1976;50209;OP22;EIM000+2520;20241105.065;7.800000000000001;1.0;False;True;0.8337354242058705;False;3;;;;
2050;50209;OP22;EIM000+2520;20241105.068;9.8;1.0;False;True;0.8313216656608329;False;3;;;;
1361;50209;OP22;EIM000+2520;20241106.022;27.0;1.0;False;True;0.8287409493161706;False;3;;;;
1383;50209;OP22;EIM000+2520;20241128.066;5.0;0.9964454976303317;False;True;0.828666230958725;False;3;;;;
1174;50209;OP22;EIM000+2520;20241106.020;1.0;1.0;False;True;0.82864038616251;False;3;;;;
1358;50209;OP22;EIM000+2520;20241106.022;21.0;1.0;False;True;0.8285469999497058;False;3;;;;
1145;50209;OP22;EIM000+2520;20241106.013;1.0;1.0;False;True;0.8237216551862839;False;3;;;;
1220;50209;OP22;EIM000+2520;20241106.026;1.0;1.0;False;True;0.8237158524928309;False;3;;;;
1230;50209;OP22;EIM000+2520;20241106.027;1.0;1.0;False;True;0.8237127916331456;False;3;;;;
1254;50209;OP22;EIM000+2520;20241106.028;19.0;1.0;False;True;0.8236950618525596;False;3;;;;
1156;50209;OP22;EIM000+2520;20241106.015;1.0;1.0;False;True;0.8136471061497461;False;3;;;;
2043;50209;OP22;EIM000+2520;20241105.066;7.800000000000001;1.0;False;True;0.8136249371543489;False;3;1e+21;1.3669e+20;14.06;
1363;50209;OP22;EIM000+2520;20241106.024;1.0;1.0;False;True;0.8111206073098386;False;3;;;;
1244;50209;OP22;EIM000+2520;20241106.027;29.0;1.0;False;True;0.8111083186730335;False;3;;;;
1241;50209;OP22;EIM000+2520;20241106.027;23.0;1.0;False;True;0.8109820485744457;False;3;;;;
1226;50209;OP22;EIM000+2520;20241106.026;13.0;1.0;False;True;0.8060444533842904;False;3;;;;
1181;50209;OP22;EIM000+2520;20241106.020;15.0;1.0;False;True;0.8060331825037708;False;3;;;;
