;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
154;51222;OP22;DIR001+2520;20241211.047;3.0;1.0;True;True;0.9924055725997083;True;3;True;1e+21;2.207e+19;47.31;3.54
306;51222;OP22;EIM000+2520;20241212.010;5.0;1.0;True;True;0.9924048086112368;True;3;True;8.499700000000001e+20;9.08e+18;11.16;0.37
143;51222;OP22;DIR001+2520;20241211.083;25.0;1.0;True;True;0.9924044265593561;True;3;True;5.1564e+20;4.91e+18;16.35;0.54
193;51222;OP22;DIR001+2520;20241211.062;5.0;1.0;True;True;0.9923583530239807;True;3;True;6.361499999999999e+20;7.035e+20;41.7;133.62
92;51222;OP22;DIR001+2520;20241211.074;7.0;1.0;True;True;0.9923548938738558;True;3;True;1e+21;2.65e+19;40.99;3.92
189;51222;OP22;DIR001+2520;20241211.054;9.0;1.0;True;True;0.9923038229376258;True;3;True;9.2023e+20;1.3625e+21;10.14;47.91
163;51222;OP22;DIR001+2520;20241211.055;1.0;1.0;True;True;0.9899542920287308;True;3;True;8.5959e+20;1.984e+19;51.36;4.51
321;51222;OP22;EIM000+2520;20241212.011;7.0;1.0;True;True;0.9899527780568673;True;3;True;;;;
196;51222;OP22;DIR001+2520;20241211.062;11.0;1.0;True;True;0.9899457068168108;True;3;True;1e+21;5.31e+18;23.11;0.6
182;51222;OP22;DIR001+2520;20241211.052;25.0;1.0;True;True;0.9899421674629117;True;3;True;5.4920000000000007e+20;6.262e+20;26.04;62.74
142;51222;OP22;DIR001+2520;20241211.083;23.0;1.0;True;True;0.9899406498340207;True;3;True;5.3479999999999993e+20;5.03e+18;14.62;0.44
139;51222;OP22;DIR001+2520;20241211.083;17.0;1.0;True;True;0.989897466827503;True;3;True;6.2384e+20;4.65e+18;13.94;0.37
153;51222;OP22;DIR001+2520;20241211.047;1.0;1.0;True;True;0.989892894855936;True;3;True;1e+21;6.926979999999999e+21;6.91;94.92
320;51222;OP22;EIM000+2520;20241212.011;5.0;1.0;True;True;0.989846695149535;True;3;True;;;;
168;51222;OP22;DIR001+2520;20241211.055;16.0;1.0;True;True;0.9898390342052313;True;3;True;1e+21;1.7755e+20;31.54;22.3
2385;51222;OP23;FTM004+1800;20250423.025;6.0;0.9757575757575757;True;True;0.9897198145535174;True;3;True;;;;
259;51222;OP22;EIM000+2520;20241127.041;4.87;0.9858156028368794;True;True;0.9874441263623123;True;3;True;;;;
310;51222;OP22;EIM000+2520;20241212.010;13.0;1.0;True;True;0.9874365546007337;True;3;True;8.1632e+20;;200.0;
307;51222;OP22;EIM000+2520;20241212.010;7.0;1.0;True;True;0.9874264447015038;True;3;True;8.832100000000001e+20;6.498e+19;200.0;57.06
324;51222;OP22;EIM000+2520;20241212.011;13.0;1.0;True;True;0.9874251798199286;True;3;True;;;;
187;51222;OP22;DIR001+2520;20241211.054;5.0;0.9997482376636455;True;True;0.9873958019483781;True;3;True;1e+21;1.635e+20;29.25;15.07
161;51222;OP22;DIR001+2520;20241211.049;1.0;1.0;True;True;0.9873850329195356;True;3;True;9.4733e+20;6.2688e+20;9.3;12.07
210;51222;OP22;DIR001+2520;20241211.063;9.0;1.0;True;True;0.9873793242156074;True;3;True;9.7388e+20;5.4299e+20;12.51;21.12
323;51222;OP22;EIM000+2520;20241212.011;11.0;1.0;True;True;0.9873748805392083;True;3;True;;;;
91;51222;OP22;DIR001+2520;20241211.074;5.0;1.0;True;True;0.9873322274166793;True;3;True;1e+21;5.71947e+21;6.61;74.97
202;51222;OP22;DIR001+2520;20241211.062;23.0;1.0;True;True;0.9873322274166793;True;3;True;1e+21;4.601e+19;31.99;6.46
90;51222;OP22;DIR001+2520;20241211.074;3.0;1.0;True;True;0.9872813191232657;True;3;True;1e+21;5.85448e+21;7.12;82.7
42;51222;OP22;AIM000+2520;20241211.042;3.0;0.9940476190476191;True;True;0.9871627064035441;True;3;True;9.8397e+20;3.57831e+21;6.96;50.14
45;51222;OP22;AIM000+2520;20241211.041;5.0;0.9880239520958084;True;True;0.9849329516347748;True;3;True;1e+21;1.0662e+20;31.65;12.58
95;51222;OP22;DIR001+2520;20241211.074;13.0;1.0;True;True;0.984927652733119;True;3;True;7.134299999999999e+20;1.819e+19;44.99;6.24
