;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
227;20241211.083;3;15;DIR001+2520;OP22
219;20241211.074;3;15;DIR001+2520;OP22
215;20241211.063;3;15;DIR001+2520;OP22
214;20241211.062;3;15;DIR001+2520;OP22
211;20241211.052;3;15;DIR001+2520;OP22
806;20250507.026;1;12;EIM000+2520;OP23
863;20250508.069;1;11;EIM000+2520;OP23
799;20250507.009;1;10;EIM000+2520;OP23
225;20241211.080;3;9;DIR001+2520;OP22
805;20250507.025;1;9;EIM000+2520;OP23
804;20250507.023;1;9;EIM000+2520;OP23
803;20250507.022;1;9;EIM000+2520;OP23
268;20241212.055;3;8;EIM000+2520;OP22
266;20241212.053;3;8;EIM000+2520;OP22
259;20241212.046;3;8;EIM000+2520;OP22
254;20241212.039;3;8;EIM000+2520;OP22
238;20241212.021;3;8;EIM000+2520;OP22
237;20241212.020;3;8;EIM000+2520;OP22
229;20241212.010;3;8;EIM000+2520;OP22
336;20250226.072;3;7;DBM000-2520;OP23
332;20250226.064;3;7;DBM000-2520;OP23
213;20241211.055;3;7;DIR001+2520;OP22
886;20250508.093;1;7;EIM000+2520;OP23
878;20250508.084;1;7;EIM000+2520;OP23
877;20250508.083;1;7;EIM000+2520;OP23
875;20250508.081;1;7;EIM000+2520;OP23
873;20250508.079;1;7;EIM000+2520;OP23
871;20250508.077;1;7;EIM000+2520;OP23
870;20250508.076;1;7;EIM000+2520;OP23
868;20250508.074;1;7;EIM000+2520;OP23
867;20250508.073;1;7;EIM000+2520;OP23
865;20250508.071;1;7;EIM000+2520;OP23
862;20250508.068;1;7;EIM000+2520;OP23
861;20250508.066;1;7;EIM000+2520;OP23
860;20250508.065;1;7;EIM000+2520;OP23
859;20250508.064;1;7;EIM000+2520;OP23
224;20241211.079;3;6;DIR001+2520;OP22
222;20241211.077;3;6;DIR001+2520;OP22
104;20241127.044;3;6;EIM000+2520;OP22
882;20250508.088;1;6;EIM000+2520;OP23
876;20250508.082;1;6;EIM000+2520;OP23
872;20250508.078;1;6;EIM000+2520;OP23
866;20250508.072;1;6;EIM000+2520;OP23
800;20250507.010;1;6;EIM000+2520;OP23
798;20250507.008;1;6;EIM000+2520;OP23
334;20250226.068;3;5;DBM000-2520;OP23
275;20241212.062;3;5;EIM000+2520;OP22
274;20241212.061;3;5;EIM000+2520;OP22
272;20241212.059;3;5;EIM000+2520;OP22
248;20241212.033;3;5;EIM000+2520;OP22
212;20241211.054;3;5;DIR001+2520;OP22
890;20250508.097;1;5;EIM000+2520;OP23
881;20250508.087;1;5;EIM000+2520;OP23
879;20250508.085;1;5;EIM000+2520;OP23
869;20250508.075;1;5;EIM000+2520;OP23
502;20250401.086;3;4;DBM000+2520;OP23
498;20250401.080;3;4;DBM000+2520;OP23
491;20250401.070;3;4;DBM000+2520;OP23
490;20250401.069;3;4;DBM000+2520;OP23
333;20250226.066;3;4;DBM000-2520;OP23
331;20250226.062;3;4;DBM000-2520;OP23
329;20250226.058;3;4;DBM000-2520;OP23
277;20241212.064;3;4;EIM000+2520;OP22
270;20241212.057;3;4;EIM000+2520;OP22
221;20241211.076;3;4;DIR001+2520;OP22
200;20241211.036;3;4;AIM000+2520;OP22
197;20241211.033;3;4;AIM000+2520;OP22
891;20250508.098;1;4;EIM000+2520;OP23
889;20250508.096;1;4;EIM000+2520;OP23
884;20250508.090;1;4;EIM000+2520;OP23
802;20250507.021;1;4;EIM000+2520;OP23
496;20250401.077;3;3;DBM000+2520;OP23
492;20250401.072;3;3;DBM000+2520;OP23
